                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3387,                 2.0163,                 1.1071,                0.51094,                0.28026,                0.26405,                0.15576,                 1.3214,                 1.4045,                 1.1148,             0.00013284,             0.00013284,             0.00013284
                      2,                 1.2898,                 1.4325,                 1.1078,                0.55417,                0.31814,                0.31198,                0.18808,                 1.3418,                 1.3801,                 1.1363,              0.0002609,              0.0002609,              0.0002609
                      3,                 1.3038,                 1.3702,                 1.1098,                0.60219,                0.28212,                0.28799,                0.17176,                 1.2923,                 1.4145,                 1.1175,             0.00038369,             0.00038369,             0.00038369
                      4,                 1.2935,                 1.3277,                 1.1101,                0.52688,                0.30692,                0.33588,                0.19479,                 1.3663,                 1.2884,                 1.1651,             0.00037624,             0.00037624,             0.00037624
                      5,                 1.2889,                 1.2735,                 1.1073,                0.54749,                0.39546,                0.36919,                 0.2217,                 1.3115,                 1.3078,                 1.1285,             0.00037624,             0.00037624,             0.00037624
                      6,                 1.2553,                 1.2184,                 1.0958,                0.47133,                0.38551,                0.33952,                0.20145,                  1.318,                 1.2388,                 1.1352,             0.00036832,             0.00036832,             0.00036832
                      7,                 1.2527,                 1.1847,                 1.0863,                0.57671,                0.37147,                0.35142,                0.20406,                 1.3763,                 1.2245,                 1.1559,              0.0003604,              0.0003604,              0.0003604
                      8,                 1.2253,                 1.1424,                 1.0786,                0.57411,                0.37233,                0.37639,                0.22162,                 1.3046,                 1.1993,                 1.1183,             0.00035248,             0.00035248,             0.00035248
                      9,                 1.2146,                 1.0998,                 1.0775,                0.62555,                  0.363,                0.35711,                0.21729,                 1.2965,                 1.1871,                 1.1242,             0.00034456,             0.00034456,             0.00034456
                     10,                 1.2092,                 1.0782,                 1.0693,                0.57339,                0.33921,                0.36234,                0.22316,                 1.2487,                 1.1699,                 1.0975,             0.00033664,             0.00033664,             0.00033664
                     11,                 1.1944,                 1.0621,                 1.0632,                0.59635,                0.40407,                0.38031,                0.22261,                 1.2903,                 1.1657,                 1.1135,             0.00032872,             0.00032872,             0.00032872
                     12,                 1.1742,                 1.0313,                  1.059,                0.62176,                0.37848,                0.39017,                0.23679,                 1.2871,                 1.1682,                 1.1149,              0.0003208,              0.0003208,              0.0003208
                     13,                 1.1585,                0.99099,                 1.0433,                0.58253,                0.40831,                0.40417,                 0.2525,                 1.2774,                 1.1571,                 1.1174,             0.00031288,             0.00031288,             0.00031288
                     14,                  1.149,                0.98087,                 1.0413,                0.55955,                0.40915,                0.38308,                0.22891,                 1.2652,                 1.1555,                 1.1111,             0.00030496,             0.00030496,             0.00030496
                     15,                 1.1471,                0.96251,                 1.0429,                0.59669,                0.39435,                0.41808,                0.25851,                 1.2239,                 1.1624,                 1.0909,             0.00029704,             0.00029704,             0.00029704
                     16,                 1.1314,                0.94361,                  1.036,                0.59254,                0.39699,                0.40155,                0.23851,                   1.28,                 1.1574,                 1.1123,             0.00028912,             0.00028912,             0.00028912
                     17,                 1.1179,                0.91749,                 1.0257,                0.58115,                0.42393,                0.40174,                0.24274,                 1.2559,                 1.1114,                 1.0976,              0.0002812,              0.0002812,              0.0002812
                     18,                 1.1041,                0.89234,                 1.0222,                0.72103,                0.36141,                0.43339,                0.26301,                 1.2814,                  1.111,                  1.112,             0.00027328,             0.00027328,             0.00027328
                     19,                 1.0967,                0.87955,                 1.0229,                0.60311,                0.45231,                0.48437,                0.26881,                 1.2861,                 1.1009,                 1.1181,             0.00026536,             0.00026536,             0.00026536
                     20,                 1.0796,                0.85839,                 1.0094,                0.66465,                0.46206,                0.51141,                0.29392,                 1.2611,                 1.0823,                 1.0997,             0.00025744,             0.00025744,             0.00025744
                     21,                  1.084,                0.84966,                 1.0119,                0.68105,                0.41008,                0.42889,                0.25713,                 1.2448,                  1.078,                 1.0947,             0.00024952,             0.00024952,             0.00024952
                     22,                 1.0644,                0.82573,                 1.0032,                0.65749,                0.35766,                0.44333,                0.26782,                 1.2716,                 1.1063,                 1.1144,              0.0002416,              0.0002416,              0.0002416
                     23,                 1.0593,                 0.8125,                 1.0043,                0.59945,                0.38964,                0.48118,                0.26507,                 1.2683,                 1.0846,                 1.1181,             0.00023368,             0.00023368,             0.00023368
                     24,                 1.0509,                 0.7962,                  1.001,                0.50743,                0.50032,                0.45561,                 0.2646,                 1.2654,                  1.111,                 1.1154,             0.00022576,             0.00022576,             0.00022576
                     25,                 1.0388,                0.79737,                0.99855,                0.66184,                0.44968,                0.50308,                0.27531,                 1.2954,                 1.0885,                 1.1229,             0.00021784,             0.00021784,             0.00021784
                     26,                 1.0391,                0.77664,                0.99223,                0.66724,                0.46348,                0.49868,                 0.2835,                 1.2565,                 1.0778,                 1.1051,             0.00020992,             0.00020992,             0.00020992
                     27,                 1.0305,                0.76025,                0.98608,                0.72781,                 0.4273,                0.50313,                0.30226,                 1.1953,                 1.0751,                 1.0784,               0.000202,               0.000202,               0.000202
                     28,                 1.0115,                0.74669,                0.98166,                0.59162,                0.47671,                0.48189,                0.28486,                 1.2587,                 1.1039,                  1.102,             0.00019408,             0.00019408,             0.00019408
                     29,                 1.0078,                0.74309,                0.98612,                0.70849,                0.45058,                0.51317,                0.29485,                 1.2251,                 1.0894,                 1.0823,             0.00018616,             0.00018616,             0.00018616
                     30,                0.99105,                0.72241,                0.97437,                0.60235,                0.49717,                0.48375,                0.27774,                 1.2301,                 1.0994,                 1.0868,             0.00017824,             0.00017824,             0.00017824
                     31,                0.98419,                0.71584,                0.97263,                0.60675,                0.47785,                 0.5037,                0.28754,                 1.2716,                 1.1136,                 1.1112,             0.00017032,             0.00017032,             0.00017032
                     32,                0.98872,                 0.7013,                0.96904,                0.59735,                  0.471,                 0.5079,                 0.2931,                 1.2556,                 1.0793,                 1.1143,              0.0001624,              0.0001624,              0.0001624
                     33,                0.98268,                0.69462,                0.96849,                0.69157,                0.47385,                0.51582,                0.30269,                 1.2328,                  1.051,                 1.0921,             0.00015448,             0.00015448,             0.00015448
                     34,                0.96335,                 0.6812,                0.96503,                0.60862,                0.45795,                0.50345,                0.29153,                 1.2419,                 1.0448,                 1.1077,             0.00014656,             0.00014656,             0.00014656
                     35,                0.95205,                0.65585,                0.95847,                 0.6158,                0.46349,                0.50798,                0.28742,                 1.2674,                 1.0826,                 1.1183,             0.00013864,             0.00013864,             0.00013864
                     36,                0.95291,                 0.6594,                 0.9595,                0.61234,                0.48603,                0.51608,                 0.2879,                 1.2487,                 1.0623,                 1.1111,             0.00013072,             0.00013072,             0.00013072
